"point_id","distance_m","distance_km","nearest_hospital","estimated_time","access_category"
1,5793.52911934756,5.79352911934756,NA,11.5870582386951,"Moderate (4-6km)"
2,6037.72288871166,6.03772288871166,NA,12.0754457774233,"Poor (6-8km)"
3,6094.39580091526,6.09439580091526,NA,12.1887916018305,"Poor (6-8km)"
4,4717.52560379434,4.71752560379434,NA,9.43505120758867,"Moderate (4-6km)"
5,5131.54777011036,5.13154777011036,NA,10.2630955402207,"Moderate (4-6km)"
6,5460.06715545901,5.46006715545901,NA,10.920134310918,"Moderate (4-6km)"
7,5483.97018082678,5.48397018082678,NA,10.9679403616536,"Moderate (4-6km)"
8,5546.30067255346,5.54630067255346,NA,11.0926013451069,"Moderate (4-6km)"
9,5643.70810672649,5.64370810672649,NA,11.287416213453,"Moderate (4-6km)"
10,5239.44867047432,5.23944867047432,NA,10.4788973409486,"Moderate (4-6km)"
11,4488.36047649011,4.48836047649011,NA,8.97672095298022,"Moderate (4-6km)"
12,4912.72100254353,4.91272100254353,NA,9.82544200508705,"Moderate (4-6km)"
13,4904.12045754768,4.90412045754768,NA,9.80824091509536,"Moderate (4-6km)"
14,4930.71777051615,4.93071777051615,NA,9.8614355410323,"Moderate (4-6km)"
15,4999.94596410697,4.99994596410697,NA,9.99989192821394,"Moderate (4-6km)"
16,5110.07271915412,5.11007271915412,NA,10.2201454383082,"Moderate (4-6km)"
17,4969.51701033796,4.96951701033796,NA,9.93903402067591,"Moderate (4-6km)"
18,4566.07364506868,4.56607364506868,NA,9.13214729013735,"Moderate (4-6km)"
19,4174.68271535134,4.17468271535134,NA,8.34936543070267,"Moderate (4-6km)"
20,3431.83453502999,3.43183453502999,NA,6.86366907005998,"Good (2-4km)"
21,3873.33145791213,3.87333145791213,NA,7.74666291582427,"Good (2-4km)"
22,4319.01946611891,4.31901946611891,NA,8.63803893223782,"Moderate (4-6km)"
23,4357.36511739017,4.35736511739017,NA,8.71473023478035,"Moderate (4-6km)"
24,4348.18112645191,4.34818112645191,NA,8.69636225290381,"Moderate (4-6km)"
25,4378.15532453105,4.37815532453105,NA,8.7563106490621,"Moderate (4-6km)"
26,4455.97190959242,4.45597190959242,NA,8.91194381918483,"Moderate (4-6km)"
27,4579.1924994359,4.5791924994359,NA,9.15838499887179,"Moderate (4-6km)"
28,4736.27639291088,4.73627639291088,NA,9.47255278582175,"Moderate (4-6km)"
29,4311.08672431747,4.31108672431747,NA,8.62217344863495,"Moderate (4-6km)"
30,3894.17725299631,3.89417725299631,NA,7.78835450599261,"Good (2-4km)"
31,2730.93722101789,2.73093722101789,NA,5.46187444203578,"Good (2-4km)"
32,2335.1640058008,2.3351640058008,NA,4.67032801160159,"Good (2-4km)"
33,3302.22018147058,3.30222018147058,NA,6.60444036294115,"Good (2-4km)"
34,3758.94631548746,3.75894631548746,NA,7.51789263097492,"Good (2-4km)"
35,3803.05403052894,3.80305403052894,NA,7.60610806105788,"Good (2-4km)"
36,3802.19034369919,3.80219034369919,NA,7.60438068739839,"Good (2-4km)"
37,3792.25240207075,3.79225240207075,NA,7.5845048041415,"Good (2-4km)"
38,3826.58174927816,3.82658174927816,NA,7.65316349855632,"Good (2-4km)"
39,3915.37088864261,3.91537088864261,NA,7.83074177728523,"Good (2-4km)"
40,4055.04404594457,4.05504404594457,NA,8.11008809188914,"Moderate (4-6km)"
41,4240.57625070213,4.24057625070213,NA,8.48115250140426,"Moderate (4-6km)"
42,4115.83848135495,4.11583848135495,NA,8.2316769627099,"Moderate (4-6km)"
43,3676.88382283732,3.67688382283732,NA,7.35376764567463,"Good (2-4km)"
44,2411.08440051431,2.41108440051431,NA,4.82216880102863,"Good (2-4km)"
45,2023.99324548839,2.02399324548839,NA,4.04798649097677,"Good (2-4km)"
46,3262.27050915796,3.26227050915796,NA,6.52454101831592,"Good (2-4km)"
47,3313.32167703581,3.31332167703581,NA,6.62664335407162,"Good (2-4km)"
48,3248.28742996964,3.24828742996964,NA,6.49657485993927,"Good (2-4km)"
49,3247.28957428253,3.24728957428253,NA,6.49457914856506,"Good (2-4km)"
50,3236.33975037702,3.23633975037702,NA,6.47267950075404,"Good (2-4km)"
51,3276.49648970573,3.27649648970573,NA,6.55299297941146,"Good (2-4km)"
52,3379.76186345226,3.37976186345226,NA,6.75952372690451,"Good (2-4km)"
53,3540.61830730574,3.54061830730574,NA,7.08123661461148,"Good (2-4km)"
54,3751.66529391168,3.75166529391168,NA,7.50333058782335,"Good (2-4km)"
55,3989.11036601382,3.98911036601382,NA,7.97822073202765,"Good (2-4km)"
56,3534.4801994795,3.5344801994795,NA,7.068960398959,"Good (2-4km)"
57,3081.88938401745,3.08188938401745,NA,6.16377876803489,"Good (2-4km)"
58,2632.39001739952,2.63239001739952,NA,5.26478003479905,"Good (2-4km)"
59,1752.19196567524,1.75219196567524,NA,3.50438393135049,"Excellent (<2km)"
60,1333.95695066181,1.33395695066181,NA,2.66791390132363,"Excellent (<2km)"
61,2694.01930622186,2.69401930622186,NA,5.38803861244373,"Good (2-4km)"
62,2692.83220324203,2.69283220324203,NA,5.38566440648405,"Good (2-4km)"
63,2680.45317157526,2.68045317157526,NA,5.36090634315052,"Good (2-4km)"
64,2728.79976091134,2.72879976091134,NA,5.45759952182268,"Good (2-4km)"
65,2851.95877128792,2.85195877128792,NA,5.70391754257583,"Good (2-4km)"
66,3040.85371192316,3.04085371192316,NA,6.08170742384633,"Good (2-4km)"
67,3284.16131227832,3.28416131227832,NA,6.56832262455664,"Good (2-4km)"
68,3564.92752631326,3.56492752631326,NA,7.12985505262651,"Good (2-4km)"
69,3460.50268569518,3.46050268569518,NA,6.92100537139035,"Good (2-4km)"
70,3014.88156391125,3.01488156391125,NA,6.02976312782251,"Good (2-4km)"
71,2421.04553145385,2.42104553145385,NA,4.84209106290771,"Good (2-4km)"
72,2238.08078485598,2.23808078485598,NA,4.47616156971195,"Good (2-4km)"
73,2139.16303643267,2.13916303643267,NA,4.27832607286533,"Good (2-4km)"
74,2124.61313100076,2.12461313100076,NA,4.24922626200152,"Good (2-4km)"
75,2185.28820712345,2.18528820712345,NA,4.3705764142469,"Good (2-4km)"
76,2337.25585549913,2.33725585549913,NA,4.67451171099826,"Good (2-4km)"
77,2564.33658329346,2.56433658329346,NA,5.12867316658692,"Good (2-4km)"
78,2848.62354139498,2.84862354139498,NA,5.69724708278996,"Good (2-4km)"
79,3036.39376438098,3.03639376438098,NA,6.07278752876195,"Good (2-4km)"
80,2913.71065530092,2.91371065530092,NA,5.82742131060184,"Good (2-4km)"
81,2858.70723056784,2.85870723056784,NA,5.71741446113567,"Good (2-4km)"
82,2592.37025960892,2.59237025960892,NA,5.18474051921784,"Good (2-4km)"
83,1691.55848677633,1.69155848677633,NA,3.38311697355267,"Excellent (<2km)"
84,1950.43335657254,1.95043335657254,NA,3.90086671314507,"Excellent (<2km)"
85,1718.0757891706,1.7180757891706,NA,3.4361515783412,"Excellent (<2km)"
86,1589.06582291233,1.58906582291233,NA,3.17813164582466,"Excellent (<2km)"
87,1587.10719364309,1.58710719364309,NA,3.17421438728617,"Excellent (<2km)"
88,1568.86909400158,1.56886909400158,NA,3.13773818800317,"Excellent (<2km)"
89,1846.63980149594,1.84663980149594,NA,3.69327960299187,"Excellent (<2km)"
90,2126.75114748538,2.12675114748538,NA,4.25350229497076,"Good (2-4km)"
91,2462.07517028172,2.46207517028172,NA,4.92415034056345,"Good (2-4km)"
92,2509.4550339088,2.5094550339088,NA,5.0189100678176,"Good (2-4km)"
93,2370.64532838442,2.37064532838442,NA,4.74129065676884,"Good (2-4km)"
94,2303.2746526357,2.3032746526357,NA,4.60654930527139,"Good (2-4km)"
95,1229.95152708879,1.22995152708879,NA,2.45990305417758,"Excellent (<2km)"
96,1042.18595375772,1.04218595375772,NA,2.08437190751545,"Excellent (<2km)"
97,1039.23891278319,1.03923891278319,NA,2.07847782556638,"Excellent (<2km)"
98,1013.37901995687,1.01337901995687,NA,2.02675803991375,"Excellent (<2km)"
99,2151.09035506424,2.15109035506424,NA,4.30218071012849,"Good (2-4km)"
100,1992.92210688186,1.99292210688186,NA,3.98584421376372,"Excellent (<2km)"
101,1507.38835493913,1.50738835493913,NA,3.01477670987825,"Excellent (<2km)"
